symbol,last_price,date
GFGC26549D,5100.0,0001-01-01T00:00:00
GFGV26549D,0.013,0001-01-01T00:00:00
GFGC27549D,5222.491,0001-01-01T00:00:00
GFGV27549D,0.066,0001-01-01T00:00:00
GFGC28549D,4720.0,0001-01-01T00:00:00
GFGV28549D,0.055,0001-01-01T00:00:00
GFGC29549D,0.0,0001-01-01T00:00:00
GFGV29549D,0.051,0001-01-01T00:00:00
GFGC30549D,5000.0,0001-01-01T00:00:00
GFGV30549D,0.03,0001-01-01T00:00:00
GFGC31549D,4500.0,0001-01-01T00:00:00
GFGV31549D,0.055,0001-01-01T00:00:00
GFGC32772D,0.0,0001-01-01T00:00:00
GFGV32772D,0.052,0001-01-01T00:00:00
GFGC35549D,4600.0,0001-01-01T00:00:00
GFGV35549D,0.052,0001-01-01T00:00:00
GFGC38549D,4010.0,0001-01-01T00:00:00
GFGV38549D,0.439,0001-01-01T00:00:00
GFGC41549D,3917.75,0001-01-01T00:00:00
GFGV41549D,0.3,0001-01-01T00:00:00
GFGC44549D,3600.0,0001-01-01T00:00:00
GFGV44549D,0.69,0001-01-01T00:00:00
GFGC4733DI,3310.0,0001-01-01T00:00:00
GFGV4733DI,0.66,0001-01-01T00:00:00
GFGC50115D,3050.0,0001-01-01T00:00:00
GFGV50115D,0.35,0001-01-01T00:00:00
GFGC53115D,2701.0,0001-01-01T00:00:00
GFGV53115D,0.61,0001-01-01T00:00:00
GFGC5633DI,2460.0,0001-01-01T00:00:00
GFGV5633DI,0.675,0001-01-01T00:00:00
GFGC5933DI,2072.4,0001-01-01T00:00:00
GFGV5933DI,0.9,0001-01-01T00:00:00
GFGC6133DI,1910.0,0001-01-01T00:00:00
GFGV6133DI,1.1,0001-01-01T00:00:00
GFGC63115D,1720.0,0001-01-01T00:00:00
GFGV63115D,1.75,0001-01-01T00:00:00
GFGC65115D,1518.0,0001-01-01T00:00:00
GFGV65115D,1.9,0001-01-01T00:00:00
GFGC66903D,1350.0,0001-01-01T00:00:00
GFGV66903D,4.0,0001-01-01T00:00:00
GFGC69115D,1145.0,0001-01-01T00:00:00
GFGV69115D,8.7,0001-01-01T00:00:00
GFGC71115D,936.0,0001-01-01T00:00:00
GFGV71115D,14.666,0001-01-01T00:00:00
GFGC73772D,681.402,0001-01-01T00:00:00
GFGV73772D,34.0,0001-01-01T00:00:00
GFGC75772D,515.0,0001-01-01T00:00:00
GFGV75772D,63.003,0001-01-01T00:00:00
GFGC77772D,378.0,0001-01-01T00:00:00
GFGV77772D,130.0,0001-01-01T00:00:00
GFGC79115D,320.0,0001-01-01T00:00:00
GFGV79115D,206.0,0001-01-01T00:00:00
GFGC82772D,220.0,0001-01-01T00:00:00
GFGV82772D,462.0,0001-01-01T00:00:00
GFGC84903D,172.1,0001-01-01T00:00:00
GFGV84903D,610.0,0001-01-01T00:00:00
GFGC87903D,120.0,0001-01-01T00:00:00
GFGV87903D,840.0,0001-01-01T00:00:00
GFGC91115D,74.052,0001-01-01T00:00:00
GFGV91115D,1010.0,0001-01-01T00:00:00
GFGC93903D,45.1,0001-01-01T00:00:00
GFGV93903D,1360.0,0001-01-01T00:00:00
GFGC97772D,32.4,0001-01-01T00:00:00
GFGV97772D,1840.0,0001-01-01T00:00:00
GFGC10177D,24.0,0001-01-01T00:00:00
GFGV10177D,2230.5,0001-01-01T00:00:00
GFGC10577D,19.09,0001-01-01T00:00:00
GFGV10577D,2485.508,0001-01-01T00:00:00
GFGC10977D,16.129,0001-01-01T00:00:00
GFGV10977D,2990.898,0001-01-01T00:00:00
GFGC11377D,12.15,0001-01-01T00:00:00
GFGV11377D,0.0,0001-01-01T00:00:00
GFGC11777D,10.2,0001-01-01T00:00:00
GFGV11777D,3768.395,0001-01-01T00:00:00
GFGC7400EN,0.0,0001-01-01T00:00:00
GFGV5800EN,0.0,0001-01-01T00:00:00
GFGC5800EN,0.0,0001-01-01T00:00:00
GFGV6000EN,0.0,0001-01-01T00:00:00
GFGC6000EN,0.0,0001-01-01T00:00:00
GFGV6200EN,0.0,0001-01-01T00:00:00
GFGC6200EN,0.0,0001-01-01T00:00:00
GFGC6400EN,0.0,0001-01-01T00:00:00
GFGV6400EN,0.0,0001-01-01T00:00:00
GFGV6600EN,0.0,0001-01-01T00:00:00
GFGC6600EN,0.0,0001-01-01T00:00:00
GFGV6800EN,0.0,0001-01-01T00:00:00
GFGC6800EN,0.0,0001-01-01T00:00:00
GFGC7000EN,0.0,0001-01-01T00:00:00
GFGV7000EN,0.0,0001-01-01T00:00:00
GFGV7200EN,0.0,0001-01-01T00:00:00
GFGC7200EN,0.0,0001-01-01T00:00:00
GFGV7400EN,0.0,0001-01-01T00:00:00
GFGC7600EN,0.0,0001-01-01T00:00:00
GFGV7600EN,0.0,0001-01-01T00:00:00
GFGV7800EN,0.0,0001-01-01T00:00:00
GFGC7800EN,0.0,0001-01-01T00:00:00
GFGC8000EN,0.0,0001-01-01T00:00:00
GFGV8000EN,0.0,0001-01-01T00:00:00
GFGV8300EN,0.0,0001-01-01T00:00:00
GFGC8300EN,0.0,0001-01-01T00:00:00
GFGV8600EN,0.0,0001-01-01T00:00:00
GFGC8600EN,0.0,0001-01-01T00:00:00
GFGV8900EN,0.0,0001-01-01T00:00:00
GFGC8900EN,0.0,0001-01-01T00:00:00
GFGC9200EN,0.0,0001-01-01T00:00:00
GFGV9200EN,0.0,0001-01-01T00:00:00
GFGV9500EN,0.0,0001-01-01T00:00:00
GFGC9500EN,0.0,0001-01-01T00:00:00
GFGV9800EN,0.0,0001-01-01T00:00:00
GFGC9800EN,0.0,0001-01-01T00:00:00
GFGC10200E,0.0,0001-01-01T00:00:00
GFGV10200E,0.0,0001-01-01T00:00:00
GFGV10600E,0.0,0001-01-01T00:00:00
GFGC10600E,0.0,0001-01-01T00:00:00
GFGC11000E,0.0,0001-01-01T00:00:00
GFGV11000E,0.0,0001-01-01T00:00:00
GFGC11400E,0.0,0001-01-01T00:00:00
GFGV11400E,0.0,0001-01-01T00:00:00
GFGV11800E,0.0,0001-01-01T00:00:00
GFGC11800E,0.0,0001-01-01T00:00:00
GFGV3000FE,40.0,0001-01-01T00:00:00
GFGC32549F,4910.61,0001-01-01T00:00:00
GFGV32549F,8.999,0001-01-01T00:00:00
GFGC4133FE,4100.0,0001-01-01T00:00:00
GFGV4133FE,7.0,0001-01-01T00:00:00
GFGC44772F,0.0,0001-01-01T00:00:00
GFGV44772F,8.5,0001-01-01T00:00:00
GFGC53772F,0.0,0001-01-01T00:00:00
GFGV53772F,0.0,0001-01-01T00:00:00
GFGC56549F,2845.0,0001-01-01T00:00:00
GFGV56549F,300.0,0001-01-01T00:00:00
GFGC59772F,0.0,0001-01-01T00:00:00
GFGV59772F,0.0,0001-01-01T00:00:00
GFGC6200FE,250.0,0001-01-01T00:00:00
GFGV6200FE,0.0,0001-01-01T00:00:00
GFGC63549F,2220.0,0001-01-01T00:00:00
GFGV63549F,0.0,0001-01-01T00:00:00
GFGV6600FE,0.0,0001-01-01T00:00:00
GFGC6600FE,0.0,0001-01-01T00:00:00
GFGC67772F,1450.0,0001-01-01T00:00:00
GFGV67772F,0.0,0001-01-01T00:00:00
GFGC69772F,1819.99,0001-01-01T00:00:00
GFGV69772F,132.0,0001-01-01T00:00:00
GFGV7200FE,169.0,0001-01-01T00:00:00
GFGC7200FE,0.0,0001-01-01T00:00:00
GFGV7400FE,0.0,0001-01-01T00:00:00
GFGC7400FE,0.0,0001-01-01T00:00:00
GFGV75772F,280.0,0001-01-01T00:00:00
GFGC75772F,1245.0,0001-01-01T00:00:00
GFGC7800FE,0.0,0001-01-01T00:00:00
GFGV7800FE,0.0,0001-01-01T00:00:00
GFGC79772F,940.0,0001-01-01T00:00:00
GFGV79772F,450.0,0001-01-01T00:00:00
GFGV82772F,600.0,0001-01-01T00:00:00
GFGC82772F,815.0,0001-01-01T00:00:00
GFGC85772F,697.0,0001-01-01T00:00:00
GFGV85772F,710.0,0001-01-01T00:00:00
GFGV97772F,0.0,0001-01-01T00:00:00
GFGC97772F,337.0,0001-01-01T00:00:00
GFGV10177F,0.0,0001-01-01T00:00:00
GFGC10177F,270.0,0001-01-01T00:00:00
GFGV10600F,0.0,0001-01-01T00:00:00
GFGC10600F,150.0,0001-01-01T00:00:00
GFGV11000F,0.0,0001-01-01T00:00:00
GFGC11000F,135.0,0001-01-01T00:00:00
GFGV11400F,0.0,0001-01-01T00:00:00
GFGC11400F,90.0,0001-01-01T00:00:00
GFGC11800F,58.0,0001-01-01T00:00:00
GFGV11800F,0.0,0001-01-01T00:00:00
GFGC6000AB,0.0,0001-01-01T00:00:00
GFGV6000AB,0.0,0001-01-01T00:00:00
GFGC6200AB,0.0,0001-01-01T00:00:00
GFGV6200AB,0.0,0001-01-01T00:00:00
GFGC6400AB,0.0,0001-01-01T00:00:00
GFGV6400AB,0.0,0001-01-01T00:00:00
GFGV6600AB,0.0,0001-01-01T00:00:00
GFGC6600AB,0.0,0001-01-01T00:00:00
GFGC6800AB,0.0,0001-01-01T00:00:00
GFGV6800AB,0.0,0001-01-01T00:00:00
GFGC7000AB,1090.0,0001-01-01T00:00:00
GFGV7000AB,0.0,0001-01-01T00:00:00
GFGV7200AB,0.0,0001-01-01T00:00:00
GFGC7200AB,0.0,0001-01-01T00:00:00
GFGC7400AB,0.0,0001-01-01T00:00:00
GFGV7400AB,0.0,0001-01-01T00:00:00
GFGV7600AB,300.0,0001-01-01T00:00:00
GFGC7600AB,0.0,0001-01-01T00:00:00
GFGC7800AB,0.0,0001-01-01T00:00:00
GFGV7800AB,0.0,0001-01-01T00:00:00
GFGC8000AB,0.0,0001-01-01T00:00:00
GFGV8000AB,0.0,0001-01-01T00:00:00
GFGC8300AB,0.0,0001-01-01T00:00:00
GFGV8300AB,600.0,0001-01-01T00:00:00
GFGC8600AB,0.0,0001-01-01T00:00:00
GFGV8600AB,0.0,0001-01-01T00:00:00
GFGV8900AB,1135.0,0001-01-01T00:00:00
GFGC8900AB,0.0,0001-01-01T00:00:00
GFGV9200AB,0.0,0001-01-01T00:00:00
GFGC9200AB,0.0,0001-01-01T00:00:00
GFGV9500AB,0.0,0001-01-01T00:00:00
GFGC9500AB,0.0,0001-01-01T00:00:00
GFGV97772A,0.0,0001-01-01T00:00:00
GFGC97772A,0.0,0001-01-01T00:00:00
GFGV10200A,0.0,0001-01-01T00:00:00
GFGC10200A,0.0,0001-01-01T00:00:00
GFGC10600A,0.0,0001-01-01T00:00:00
GFGV10600A,0.0,0001-01-01T00:00:00
GFGC11000A,0.0,0001-01-01T00:00:00
GFGV11000A,0.0,0001-01-01T00:00:00
GFGV11400A,0.0,0001-01-01T00:00:00
GFGC11400A,0.0,0001-01-01T00:00:00
GFGC11800A,0.0,0001-01-01T00:00:00
GFGV11800A,0.0,0001-01-01T00:00:00
